구분,죄종,발생검거,건수,,구분,살인발생,살인검거,강도발생,강도검거,강간발생,강간검거,절도발생,절도검거,폭력발생,폭력검거
동대문,절도,발생,1447,,,,,,,,,,,,
동대문,절도,검거,930,,,,,,,,,,,,
동대문,폭력,발생,2081,,,,,,,,,,,,
동대문,폭력,검거,1920,,,,,,,,,,,,
동작,살인,발생,3,,,,,,,,,,,,
동작,살인,검거,3,,,,,,,,,,,,
동작,강도,발생,7,,,,,,,,,,,,
동작,강도,검거,7,,,,,,,,,,,,
동작,강간,발생,288,,,,,,,,,,,,
동작,강간,검거,154,,,,,,,,,,,,
동작,절도,발생,1151,,,,,,,,,,,,
동작,절도,검거,532,,,,,,,,,,,,
동작,폭력,발생,1651,,,,,,,,,,,,
동작,폭력,검거,1394,,,,,,,,,,,,
마포,살인,발생,6,,,,,,,,,,,,
마포,살인,검거,6,,,,,,,,,,,,
마포,강도,발생,6,,,,,,,,,,,,
마포,강도,검거,7,,,,,,,,,,,,
마포,강간,발생,473,,,,,,,,,,,,
마포,강간,검거,396,,,,,,,,,,,,
마포,절도,발생,2011,,,,,,,,,,,,
마포,절도,검거,882,,,,,,,,,,,,
마포,폭력,발생,2676,,,,,,,,,,,,
마포,폭력,검거,2278,,,,,,,,,,,,
방배,살인,발생,0,,,,,,,,,,,,
방배,살인,검거,0,,,,,,,,,,,,
방배,강도,발생,1,,,,,,,,,,,,
방배,강도,검거,1,,,,,,,,,,,,
방배,강간,발생,63,,,,,,,,,,,,
방배,강간,검거,41,,,,,,,,,,,,
방배,절도,발생,369,,,,,,,,,,,,
방배,절도,검거,165,,,,,,,,,,,,
방배,폭력,발생,487,,,,,,,,,,,,
방배,폭력,검거,423,,,,,,,,,,,,
서대문,살인,발생,5,,,,,,,,,,,,
서대문,살인,검거,4,,,,,,,,,,,,
서대문,강도,발생,3,,,,,,,,,,,,
서대문,강도,검거,3,,,,,,,,,,,,
서대문,강간,발생,206,,,,,,,,,,,,
서대문,강간,검거,189,,,,,,,,,,,,
서대문,절도,발생,1062,,,,,,,,,,,,
서대문,절도,검거,585,,,,,,,,,,,,
서대문,폭력,발생,1526,,,,,,,,,,,,
서대문,폭력,검거,1235,,,,,,,,,,,,
서부,살인,발생,4,,,,,,,,,,,,
서부,살인,검거,4,,,,,,,,,,,,
서부,강도,발생,0,,,,,,,,,,,,
서부,강도,검거,0,,,,,,,,,,,,
서부,강간,발생,58,,,,,,,,,,,,
서부,강간,검거,52,,,,,,,,,,,,
서부,절도,발생,505,,,,,,,,,,,,
서부,절도,검거,325,,,,,,,,,,,,
서부,폭력,발생,807,,,,,,,,,,,,
서부,폭력,검거,711,,,,,,,,,,,,
서초,살인,발생,5,,,,,,,,,,,,
서초,살인,검거,5,,,,,,,,,,,,
서초,강도,발생,4,,,,,,,,,,,,
서초,강도,검거,4,,,,,,,,,,,,
서초,강간,발생,407,,,,,,,,,,,,
서초,강간,검거,274,,,,,,,,,,,,
서초,절도,발생,1482,,,,,,,,,,,,
서초,절도,검거,673,,,,,,,,,,,,
서초,폭력,발생,1908,,,,,,,,,,,,
서초,폭력,검거,1597,,,,,,,,,,,,
성동,살인,발생,2,,,,,,,,,,,,
성동,살인,검거,2,,,,,,,,,,,,
성동,강도,발생,5,,,,,,,,,,,,
성동,강도,검거,8,,,,,,,,,,,,
성동,강간,발생,126,,,,,,,,,,,,
성동,강간,검거,102,,,,,,,,,,,,
성동,절도,발생,999,,,,,,,,,,,,
성동,절도,검거,487,,,,,,,,,,,,
성동,폭력,발생,1325,,,,,,,,,,,,
성동,폭력,검거,1188,,,,,,,,,,,,
성북,살인,발생,1,,,,,,,,,,,,
성북,살인,검거,1,,,,,,,,,,,,
성북,강도,발생,0,,,,,,,,,,,,
성북,강도,검거,0,,,,,,,,,,,,
성북,강간,발생,125,,,,,,,,,,,,
성북,강간,검거,90,,,,,,,,,,,,
성북,절도,발생,600,,,,,,,,,,,,
성북,절도,검거,298,,,,,,,,,,,,
성북,폭력,발생,886,,,,,,,,,,,,
성북,폭력,검거,798,,,,,,,,,,,,
송파,살인,발생,5,,,,,,,,,,,,
송파,살인,검거,6,,,,,,,,,,,,
송파,강도,발생,6,,,,,,,,,,,,
송파,강도,검거,8,,,,,,,,,,,,
송파,강간,발생,309,,,,,,,,,,,,
송파,강간,검거,254,,,,,,,,,,,,
송파,절도,발생,2352,,,,,,,,,,,,
송파,절도,검거,1034,,,,,,,,,,,,
송파,폭력,발생,3135,,,,,,,,,,,,
송파,폭력,검거,2749,,,,,,,,,,,,
수서,살인,발생,5,,,,,,,,,,,,
수서,살인,검거,5,,,,,,,,,,,,
수서,강도,발생,5,,,,,,,,,,,,
수서,강도,검거,2,,,,,,,,,,,,
수서,강간,발생,194,,,,,,,,,,,,
수서,강간,검거,171,,,,,,,,,,,,
수서,절도,발생,984,,,,,,,,,,,,
수서,절도,검거,481,,,,,,,,,,,,
수서,폭력,발생,1697,,,,,,,,,,,,
수서,폭력,검거,1443,,,,,,,,,,,,
양천,살인,발생,2,,,,,,,,,,,,
양천,살인,검거,3,,,,,,,,,,,,
양천,강도,발생,4,,,,,,,,,,,,
양천,강도,검거,14,,,,,,,,,,,,
양천,강간,발생,120,,,,,,,,,,,,
양천,강간,검거,111,,,,,,,,,,,,
양천,절도,발생,1384,,,,,,,,,,,,
양천,절도,검거,646,,,,,,,,,,,,
양천,폭력,발생,2005,,,,,,,,,,,,
양천,폭력,검거,1685,,,,,,,,,,,,
영등포,살인,발생,17,,,,,,,,,,,,
영등포,살인,검거,15,,,,,,,,,,,,
영등포,강도,발생,8,,,,,,,,,,,,
영등포,강도,검거,6,,,,,,,,,,,,
영등포,강간,발생,391,,,,,,,,,,,,
영등포,강간,검거,267,,,,,,,,,,,,
영등포,절도,발생,2292,,,,,,,,,,,,
영등포,절도,검거,1064,,,,,,,,,,,,
영등포,폭력,발생,3132,,,,,,,,,,,,
영등포,폭력,검거,2570,,,,,,,,,,,,
용산,살인,발생,1,,,,,,,,,,,,
용산,살인,검거,1,,,,,,,,,,,,
용산,강도,발생,3,,,,,,,,,,,,
용산,강도,검거,2,,,,,,,,,,,,
용산,강간,발생,331,,,,,,,,,,,,
용산,강간,검거,285,,,,,,,,,,,,
용산,절도,발생,1096,,,,,,,,,,,,
용산,절도,검거,522,,,,,,,,,,,,
용산,폭력,발생,1980,,,,,,,,,,,,
용산,폭력,검거,1733,,,,,,,,,,,,
은평,살인,발생,4,,,,,,,,,,,,
은평,살인,검거,4,,,,,,,,,,,,
은평,강도,발생,1,,,,,,,,,,,,
은평,강도,검거,1,,,,,,,,,,,,
은평,강간,발생,130,,,,,,,,,,,,
은평,강간,검거,117,,,,,,,,,,,,
은평,절도,발생,773,,,,,,,,,,,,
은평,절도,검거,491,,,,,,,,,,,,
은평,폭력,발생,1308,,,,,,,,,,,,
은평,폭력,검거,1158,,,,,,,,,,,,
종로,살인,발생,5,,,,,,,,,,,,
종로,살인,검거,4,,,,,,,,,,,,
종로,강도,발생,1,,,,,,,,,,,,
종로,강도,검거,0,,,,,,,,,,,,
종로,강간,발생,136,,,,,,,,,,,,
종로,강간,검거,114,,,,,,,,,,,,
종로,절도,발생,744,,,,,,,,,,,,
종로,절도,검거,398,,,,,,,,,,,,
종로,폭력,발생,1131,,,,,,,,,,,,
종로,폭력,검거,993,,,,,,,,,,,,
종암,살인,발생,6,,,,,,,,,,,,
종암,살인,검거,5,,,,,,,,,,,,
종암,강도,발생,1,,,,,,,,,,,,
종암,강도,검거,2,,,,,,,,,,,,
종암,강간,발생,58,,,,,,,,,,,,
종암,강간,검거,50,,,,,,,,,,,,
종암,절도,발생,564,,,,,,,,,,,,
종암,절도,검거,337,,,,,,,,,,,,
종암,폭력,발생,801,,,,,,,,,,,,
종암,폭력,검거,696,,,,,,,,,,,,
중랑,살인,발생,4,,,,,,,,,,,,
중랑,살인,검거,5,,,,,,,,,,,,
중랑,강도,발생,3,,,,,,,,,,,,
중랑,강도,검거,3,,,,,,,,,,,,
중랑,강간,발생,174,,,,,,,,,,,,
중랑,강간,검거,145,,,,,,,,,,,,
중랑,절도,발생,1526,,,,,,,,,,,,
중랑,절도,검거,876,,,,,,,,,,,,
중랑,폭력,발생,2581,,,,,,,,,,,,
중랑,폭력,검거,2193,,,,,,,,,,,,
중부,살인,발생,1,,,,,,,,,,,,
중부,살인,검거,1,,,,,,,,,,,,
중부,강도,발생,5,,,,,,,,,,,,
중부,강도,검거,7,,,,,,,,,,,,
중부,강간,발생,132,,,,,,,,,,,,
중부,강간,검거,63,,,,,,,,,,,,
중부,절도,발생,1057,,,,,,,,,,,,
중부,절도,검거,415,,,,,,,,,,,,
중부,폭력,발생,1176,,,,,,,,,,,,
중부,폭력,검거,1010,,,,,,,,,,,,
혜화,살인,발생,1,,,,,,,,,,,,
혜화,살인,검거,1,,,,,,,,,,,,
혜화,강도,발생,2,,,,,,,,,,,,
혜화,강도,검거,2,,,,,,,,,,,,
혜화,강간,발생,100,,,,,,,,,,,,
혜화,강간,검거,58,,,,,,,,,,,,
혜화,절도,발생,739,,,,,,,,,,,,
혜화,절도,검거,340,,,,,,,,,,,,
혜화,폭력,발생,831,,,,,,,,,,,,
혜화,폭력,검거,712,,,,,,,,,,,,
